Data Cleaning - Advanced Functions,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ellie Goldfish ,Sin city,$300,"3 Hour performance, begins at 8PM on 28-Jul-2025",,$200,,,,,,,,,
Selena Go-Go,New York,$100,4 Hour show starting at 9PM on 25 Aug (2026),,7PM Start,,,,,,,,,
The Weekend Forecast,Bombay,$400,TBA on 9 Oct (2025),,•,,,,,,,,,
Justin Woodenpond,Bombay,$600,4 Hour show starting at 10PM on 19 Sept (2025),,Taylor Swiftly,,,,,,,,,
Cardi Bee,New York,$400,TBA,,Vegas,,,,,,,,,
 Harry Styles of Hair ,New York,$300,"3 Hour performance, begins at 7PM on 31 May (2026)",,$100,,,,,,,,,
Ellie Goldfish,Chicago,$500,5PM Start on 1 Sept (2026),,"3 Hour performance, begins at 7PM on 14 Apr (2026)",,,,,,,,,
Imagine Wagons ,Chicago,$200,Show starts at 9PM on 11 Sept (2026),,•,,,,,,,,,
The Weekend Forecast,Mumbai,$200,4 Hour show starting at 7PM on 30-Dec-2025,,Post Lemon,,,,,,,,,
The Weekend Forecast,New York,$300,TBA,,Vegas,,,,,,,,,
Harry Styles of Hair,Sydney,$300,Event begins at 5PM on 2 Jan (2026),,,,,,,,,,,
Cardi Bee,Bombay,$600,4 Hour show starting at 8PM on 13-Jun-2026,,TBA on 9 Aug (2025),,,,,,,,,
Snoop Corgi,Vegas,$600,9PM Start,,•,,,,,,,,,
Ariana Venti,Mumbai,$200,6PM Start on 14-Aug-2025,,Harry Styles of Hair,,,,,,,,,
Alicia Keys to the City,Las Vegas,,TBA on 20 May (2026),,Chicago,,,,,,,,,
Justin Woodenpond,Sydney,$400,4 Hour show starting at 9PM on 5-Jun-2026,,$300,,,,,,,,,
Billie Eyelash,Sin city,$500,"3 Hour performance, begins at 5PM on 20 Feb (2026)",,Event begins at 10PM on 12 Jul (2025),,,,,,,,,
Imagine Wagons,Bombay,$500,Show starts at 9PM on 30 Nov (2026),,•,,,,,,,,,
Billie Eyelash,Big Apple,$200,Event begins at 7PM,, Bruno Mars Bar ,,,,,,,,,
Katy Ferry ,New York,$200,4 Hour show starting at 6PM on 1-Feb-2026,,Sydney,,,,,,,,,
Shawn Mender,Sydney,200,"3 Hour performance, begins at 9PM on 1 May (2026)",,$300,,,,,,,,,
Marooned 5,Sydney,$500,Event begins at 8PM on 28-Feb-2026,,9PM Start on 17-Feb-2026,,,,,,,,,
Drake Mallard,,£400,"3 Hour performance, begins at 10PM on 27 Jan (2026)",,•,,,,,,,,,
Billie Eyelash,New York,£300,"3 Hour performance, begins at 5PM",,Shawn Mender,,,,,,,,,
Camila Cobello,Vegas,300,Event begins at 7PM on 30-Dec-2025,,Sin city,,,,,,,,,
Ariana Venti,Singapore,£500,"3 Hour performance, begins at 8PM on 5 Jan (2026)",,,,,,,,,,,
Khalid Kale,Sin city,$200,4 Hour show starting at 7PM,,4 Hour show starting at 6PM on 5 Feb (2026),,,,,,,,,
Marooned 5 ,Chicago,$200,"3 Hour performance, begins at 10PM on 23 May (2026)",,•,,,,,,,,,
Lady Gaggle,Sydney,$200,9PM Start on 24 Jan (2026),,Taylor Swiftly,,,,,,,,,
Marooned 5,Mumbai,$400,8PM Start on 19-Apr-2026,,Singapore,,,,,,,,,
Khalid Kale,Bombay,$300,"3 Hour performance, begins at 5PM on 14-May-2026",,$500,,,,,,,,,
Drake Mallard ,Big Apple,$500,Event begins at 5PM on 7-Oct-2026,,Event begins at 7PM on 18-Jun-2026,,,,,,,,,
Sam Smithy,Sydney,£500,4 Hour show starting at 8PM on 28 Nov (2025),,•,,,,,,,,,
Harry Styles of Hair,New York,$500,5PM Start on 15 Sept (2026),,Jonas Blizzards ,,,,,,,,,
Jonas Blizzards,Sin city,$500,Event begins at 6PM on 24-May-2026,,Chicago,,,,,,,,,
Shawn Mender ,Singapore,$600,Show starts at 8PM on 7 Sept (2025),,$400,,,,,,,,,
Lady Gaggle,Vegas,£200,4 Hour show starting at 7PM on 15 Jan (2026),,4 Hour show starting at 9PM on 19-Jul-2026,,,,,,,,,
Camila Cobello,New York,$300,,,•,,,,,,,,,
Katy Ferry,Chicago,100,Show starts at 8PM on 29-Jun-2026,,Cardi Bee,,,,,,,,,
Katy Ferry ,Chicago,£200,4 Hour show starting at 5PM on 11 Oct (2025),,,,,,,,,,,
Marooned 5,London,$500,4 Hour show starting at 5PM,,$100,,,,,,,,,
Alicia Keys to the City ,New York,£100,TBA on 28-Jun-2025,,Show starts at 8PM,,,,,,,,,
The Weekend Forecast,Sydney,$300,"3 Hour performance, begins at 5PM on 29 Jul (2025)",,•,,,,,,,,,
 Jonas Blizzards ,New York,$400,"3 Hour performance, begins at 7PM",,Shawn Mender,,,,,,,,,
The Weekend Forecast,Big Apple,$200,4 Hour show starting at 5PM,,Chicago,,,,,,,,,
Ed Shewalk,Vegas,$600,4 Hour show starting at 8PM on 28 Sept (2025),,600,,,,,,,,,
Bruno Mars Bar ,London,400,Show starts at 7PM on 28 Jul (2025),,"3 Hour performance, begins at 9PM",,,,,,,,,
Jonas Blizzards,Las Vegas,$100,7PM Start,,•,,,,,,,,,
Snoop Corgi ,Sydney,£600,"3 Hour performance, begins at 5PM on 19 Oct (2026)",,Harry Styles of Hair,,,,,,,,,
 Imagine Wagons ,,$500,4 Hour show starting at 5PM on 31 Jul (2025),,Las Vegas,,,,,,,,,
Lizzoard,Singapore,$300,10PM Start,,£500,,,,,,,,,
Camila Cobello,Auckland,$230,8PM Start,,7PM Start on 16 Dec (2025),,,,,,,,,
Taylor Swiftly,Wellington,$170,"3 Hour performance, begins at 7PM on 15 Apr (2026)",,•,,,,,,,,,
Post Lemon,Wellington,$420,TBA on 8 Aug (2025),,Billie Eyelash,,,,,,,,,
,,,,,Vegas,,,,,,,,,
,,,,,£100,,,,,,,,,
,,,,,"3 Hour performance, begins at 9PM",,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Selena Go-Go,,,,,,,,,
,,,,,New York,,,,,,,,,
,,,,,$400,,,,,,,,,
,,,,,"3 Hour performance, begins at 10PM on 27-Apr-2026",,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Jonas Blizzards,,,,,,,,,
,,,,,Singapore,,,,,,,,,
,,,,,£100,,,,,,,,,
,,,,,10PM Start,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Marooned 5,,,,,,,,,
,,,,,Vegas,,,,,,,,,
,,,,,$100,,,,,,,,,
,,,,,Event begins at 7PM on 23-Oct-2025,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Post Lemon,,,,,,,,,
,,,,,Sin city,,,,,,,,,
,,,,,600,,,,,,,,,
,,,,,Show starts at 9PM on 25 Dec (2025),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Drake Mallard,,,,,,,,,
,,,,,London,,,,,,,,,
,,,,,$300,,,,,,,,,
,,,,,Event begins at 8PM on 10-Jul-2025,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Sam Smithy,,,,,,,,,
,,,,,Chicago,,,,,,,,,
,,,,,$600,,,,,,,,,
,,,,,7PM Start on 21-Nov-2026,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Marooned 5,,,,,,,,,
,,,,,Mumbai,,,,,,,,,
,,,,,100,,,,,,,,,
,,,,,4 Hour show starting at 9PM on 23-Mar-2026,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Justin Woodenpond,,,,,,,,,
,,,,,Chicago,,,,,,,,,
,,,,,£100,,,,,,,,,
,,,,,7PM Start,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Lady Gaggle,,,,,,,,,
,,,,,Vegas,,,,,,,,,
,,,,,400,,,,,,,,,
,,,,,Event begins at 6PM on 8-Jun-2026,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Alicia Keys to the City,,,,,,,,,
,,,,,Chicago,,,,,,,,,
,,,,,$600,,,,,,,,,
,,,,,5PM Start on 12 Dec (2026),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Snoop Corgi,,,,,,,,,
,,,,,Sin city,,,,,,,,,
,,,,,$100,,,,,,,,,
,,,,,4 Hour show starting at 9PM on 15-Dec-2026,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Harry Styles of Hair,,,,,,,,,
,,,,,Sydney,,,,,,,,,
,,,,,$400,,,,,,,,,
,,,,,7PM Start,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Sam Smithy,,,,,,,,,
,,,,,Mumbai,,,,,,,,,
,,,,,$500,,,,,,,,,
,,,,,"3 Hour performance, begins at 6PM on 12 Nov (2025)",,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Harry Styles of Hair,,,,,,,,,
,,,,,Singapore,,,,,,,,,
,,,,,$400,,,,,,,,,
,,,,,4 Hour show starting at 10PM on 7 Nov (2025),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Snoop Corgi,,,,,,,,,
,,,,,Singapore,,,,,,,,,
,,,,,$400,,,,,,,,,
,,,,,6PM Start,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Bruno Mars Bar,,,,,,,,,
,,,,,Chicago,,,,,,,,,
,,,,,£100,,,,,,,,,
,,,,,"3 Hour performance, begins at 7PM",,,,,,,,,
,,,,,•,,,,,,,,,
,,,,, Ed Shewalk ,,,,,,,,,
,,,,,Vegas,,,,,,,,,
,,,,,£500,,,,,,,,,
,,,,,TBA,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Ellie Goldfish,,,,,,,,,
,,,,,Bombay,,,,,,,,,
,,,,,$300,,,,,,,,,
,,,,,Show starts at 8PM on 21 Jan (2026),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Sam Smithy,,,,,,,,,
,,,,,Chicago,,,,,,,,,
,,,,,$500,,,,,,,,,
,,,,,Show starts at 6PM on 20-Mar-2026,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Jonas Blizzards,,,,,,,,,
,,,,,London,,,,,,,,,
,,,,,$600,,,,,,,,,
,,,,,9PM Start on 1-Jul-2026,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Alicia Keys to the City,,,,,,,,,
,,,,,Big Apple,,,,,,,,,
,,,,,$200,,,,,,,,,
,,,,,6PM Start,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Cardi Bee,,,,,,,,,
,,,,,Big Apple,,,,,,,,,
,,,,,$500,,,,,,,,,
,,,,,Event begins at 10PM on 21-Dec-2025,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Shawn Mender,,,,,,,,,
,,,,,Sydney,,,,,,,,,
,,,,,$300,,,,,,,,,
,,,,,Show starts at 8PM on 4-Jun-2025,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Alicia Keys to the City,,,,,,,,,
,,,,,New York,,,,,,,,,
,,,,,$300,,,,,,,,,
,,,,,4 Hour show starting at 9PM on 5-Dec-2026,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Billie Eyelash ,,,,,,,,,
,,,,,Bombay,,,,,,,,,
,,,,,$100,,,,,,,,,
,,,,,TBA on 25 Nov (2026),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Alicia Keys to the City,,,,,,,,,
,,,,,Vegas,,,,,,,,,
,,,,,$600,,,,,,,,,
,,,,,Show starts at 6PM,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Ellie Goldfish,,,,,,,,,
,,,,,New York,,,,,,,,,
,,,,,$300,,,,,,,,,
,,,,,Event begins at 9PM,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Harry Styles of Hair ,,,,,,,,,
,,,,,Bombay,,,,,,,,,
,,,,,$300,,,,,,,,,
,,,,,"3 Hour performance, begins at 7PM",,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Selena Go-Go,,,,,,,,,
,,,,,New York,,,,,,,,,
,,,,,$400,,,,,,,,,
,,,,,9PM Start on 4 Mar (2026),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Lady Gaggle,,,,,,,,,
,,,,,Bombay,,,,,,,,,
,,,,,$200,,,,,,,,,
,,,,,TBA,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Snoop Corgi,,,,,,,,,
,,,,,Chicago,,,,,,,,,
,,,,,$300,,,,,,,,,
,,,,,6PM Start on 27-Jun-2025,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Cardi Bee,,,,,,,,,
,,,,,Big Apple,,,,,,,,,
,,,,,$500,,,,,,,,,
,,,,,"3 Hour performance, begins at 6PM on 16-Jun-2025",,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Camila Cobello,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,$500,,,,,,,,,
,,,,,8PM Start,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Drake Mallard,,,,,,,,,
,,,,,Sydney,,,,,,,,,
,,,,,$600,,,,,,,,,
,,,,,4 Hour show starting at 10PM on 6 Oct (2025),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Snoop Corgi,,,,,,,,,
,,,,,London,,,,,,,,,
,,,,,$100,,,,,,,,,
,,,,,6PM Start on 5 Feb (2026),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Ed Shewalk,,,,,,,,,
,,,,,Singapore,,,,,,,,,
,,,,,$400,,,,,,,,,
,,,,,TBA on 26 Jun (2025),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Harry Styles of Hair,,,,,,,,,
,,,,,Vegas,,,,,,,,,
,,,,,$500,,,,,,,,,
,,,,,Show starts at 9PM,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Bruno Mars Bar,,,,,,,,,
,,,,,Mumbai,,,,,,,,,
,,,,,$200,,,,,,,,,
,,,,,Show starts at 6PM on 17-May-2026,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Lady Gaggle,,,,,,,,,
,,,,,Singapore,,,,,,,,,
,,,,,200,,,,,,,,,
,,,,,7PM Start on 28-Oct-2026,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Taylor Swiftly,,,,,,,,,
,,,,,Bombay,,,,,,,,,
,,,,,$300,,,,,,,,,
,,,,,TBA,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Camila Cobello,,,,,,,,,
,,,,,London,,,,,,,,,
,,,,,$400,,,,,,,,,
,,,,,"3 Hour performance, begins at 8PM on 21 Oct (2025)",,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Khalid Kale,,,,,,,,,
,,,,,Las Vegas,,,,,,,,,
,,,,,$100,,,,,,,,,
,,,,,Show starts at 7PM,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Bruno Mars Bar ,,,,,,,,,
,,,,,New York,,,,,,,,,
,,,,,$200,,,,,,,,,
,,,,,4 Hour show starting at 9PM on 30 Dec (2025),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Bruno Mars Bar,,,,,,,,,
,,,,,Sydney,,,,,,,,,
,,,,,$300,,,,,,,,,
,,,,,Event begins at 7PM on 14-Jul-2025,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Bruno Mars Bar,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,300,,,,,,,,,
,,,,,9PM Start,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Shawn Mender,,,,,,,,,
,,,,,Big Apple,,,,,,,,,
,,,,,400,,,,,,,,,
,,,,,"3 Hour performance, begins at 6PM on 25 Jun (2026)",,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Post Lemon,,,,,,,,,
,,,,,New York,,,,,,,,,
,,,,,$300,,,,,,,,,
,,,,,Show starts at 10PM on 16-Jun-2026,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Justin Woodenpond,,,,,,,,,
,,,,,Chicago,,,,,,,,,
,,,,,$300,,,,,,,,,
,,,,,TBA on 22 Feb (2026),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Billie Eyelash,,,,,,,,,
,,,,,London,,,,,,,,,
,,,,,$400,,,,,,,,,
,,,,,"3 Hour performance, begins at 8PM on 8 Oct (2026)",,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Taylor Swiftly,,,,,,,,,
,,,,,London,,,,,,,,,
,,,,,$100,,,,,,,,,
,,,,,Show starts at 7PM on 23 Oct (2026),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Jonas Blizzards,,,,,,,,,
,,,,,Chicago,,,,,,,,,
,,,,,$200,,,,,,,,,
,,,,,9PM Start on 5 Oct (2025),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Ariana Venti,,,,,,,,,
,,,,,Las Vegas,,,,,,,,,
,,,,,£300,,,,,,,,,
,,,,,4 Hour show starting at 8PM on 3 Jun (2026),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Khalid Kale,,,,,,,,,
,,,,,Sydney,,,,,,,,,
,,,,,£500,,,,,,,,,
,,,,,4 Hour show starting at 10PM on 23-Sept-2025,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Billie Eyelash,,,,,,,,,
,,,,,Chicago,,,,,,,,,
,,,,,300,,,,,,,,,
,,,,,10PM Start,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Drake Mallard ,,,,,,,,,
,,,,,Las Vegas,,,,,,,,,
,,,,,$200,,,,,,,,,
,,,,,"3 Hour performance, begins at 6PM on 7-May-2026",,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Marooned 5,,,,,,,,,
,,,,,New York,,,,,,,,,
,,,,,300,,,,,,,,,
,,,,,TBA on 11-May-2026,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Taylor Swiftly,,,,,,,,,
,,,,,Vegas,,,,,,,,,
,,,,,$500,,,,,,,,,
,,,,,4 Hour show starting at 9PM,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Alicia Keys to the City,,,,,,,,,
,,,,,Mumbai,,,,,,,,,
,,,,,$400,,,,,,,,,
,,,,,Event begins at 8PM,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Katy Ferry,,,,,,,,,
,,,,,Bombay,,,,,,,,,
,,,,,$500,,,,,,,,,
,,,,,"3 Hour performance, begins at 7PM on 5 Jan (2026)",,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Lizzoard,,,,,,,,,
,,,,,New York,,,,,,,,,
,,,,,$300,,,,,,,,,
,,,,,TBA,,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,Jonas Blizzards,,,,,,,,,
,,,,,Bombay,,,,,,,,,
,,,,,$200,,,,,,,,,
,,,,,Show starts at 5PM on 5 Jan (2026),,,,,,,,,
,,,,,•,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
